Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
0,51.516894,-0.076067,1,2,14,3,1,0,Leyden Street,"St Clements House, Leyden Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 7LL, United Kingdom",E1 7LL,2.0
0,51.515075,-0.077513,1,2,13,3,1,0,Stoney Lane,"City Bar & Kitchen, 9, Stoney Lane, Aldgate, City of London, Greater London, England, E1 7BH, United Kingdom",E1 7BH,21.0
1,51.51265,-0.101452,1,2,5,1,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,3.0
0,51.51265,-0.101452,1,1,5,1,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,2.0
0,51.508066,-0.08778,1,1,15,3,1,0,King William Street,"London Bridge, King William Street, Cornhill, City of London, Greater London, England, EC4R 9AN, United Kingdom",EC4R 9AN,1.0
1,51.514457,-0.073849,1,2,13,0,1,0,Whitechapel High Street,"Whitechapel High Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 7QA, United Kingdom",E1 7QA,14.0
0,51.512682,-0.084618,1,1,13,3,1,0,Gracechurch Street,"The Crosse Keys, 9, Gracechurch Street, Cornhill, City of London, Greater London, England, EC3V 0DR, United Kingdom",EC3V 0DR,3.0
0,51.512598,-0.084967,1,1,13,3,1,0,Gracechurch Street,"20, Gracechurch Street, Cornhill, City of London, Greater London, England, EC3V 0BG, United Kingdom",EC3V 0BG,0.0
0,51.517032,-0.089451,1,2,1,0,0,0,Coleman Street,"80, Coleman Street, Barbican, City of London, Greater London, England, EC2R 5BJ, United Kingdom",EC2R 5BJ,1.0
0,51.51265,-0.101452,1,3,3,2,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,6.0
