,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
251,Person and Vehicle search,2019-12-27T10:02:23+00:00,51.528493,-0.091394,Controlled drugs,1
257,Person and Vehicle search,2019-12-28T11:18:50+00:00,51.512856,-0.073254,Controlled drugs,1
258,Person search,2019-12-29T01:40:03+00:00,51.5112,-0.085257,Stolen goods,1
259,Person and Vehicle search,2019-12-29T03:10:01+00:00,51.512856,-0.073254,Controlled drugs,1
260,Person and Vehicle search,2019-12-29T03:27:48+00:00,51.516814,-0.08162,Article for use in theft,1
261,Person search,2019-12-29T04:44:55+00:00,51.516814,-0.08162,Offensive weapons,1
262,Person search,2019-12-29T04:45:12+00:00,51.513268,-0.100202,Offensive weapons,1
268,Person and Vehicle search,2019-12-29T11:59:04+00:00,51.518262,-0.088203,Controlled drugs,1
279,Person search,2019-12-30T05:51:51+00:00,51.518226,-0.111497,Offensive weapons,1
281,Person search,2019-12-30T06:15:02+00:00,51.512598,-0.084967,Article for use in theft,1
282,Person search,2019-12-30T06:28:01+00:00,51.512598,-0.084967,Stolen goods,1
303,Person search,2020-01-01T07:59:46+00:00,51.516814,-0.08162,Offensive weapons,1
304,Person and Vehicle search,2020-01-01T08:12:36+00:00,51.517577,-0.098062,Controlled drugs,1
306,Person and Vehicle search,2020-01-01T08:40:07+00:00,51.513885,-0.102741,Controlled drugs,1
311,Person search,2020-01-02T02:07:16+00:00,51.516814,-0.08162,Controlled drugs,1
315,Person and Vehicle search,2020-01-02T07:41:52+00:00,51.51265,-0.101452,Controlled drugs,1
317,Person search,2020-01-02T08:30:34+00:00,51.517244,-0.080376,Article for use in theft,1
324,Person and Vehicle search,2020-01-03T01:29:09+00:00,51.513389,-0.080034,Controlled drugs,1
326,Person and Vehicle search,2020-01-03T04:05:21+00:00,51.516966,-0.1059,Controlled drugs,1
328,Person search,2020-01-03T04:36:47+00:00,51.513268,-0.100202,Controlled drugs,1
339,Person and Vehicle search,2020-01-04T02:34:26+00:00,51.508066,-0.08778,Controlled drugs,1
344,Person search,2020-01-04T06:33:03+00:00,51.519312,-0.103597,Article for use in theft,1
345,Person search,2020-01-04T09:17:55+00:00,51.519912,-0.102332,Stolen goods,1
353,Person search,2020-01-05T08:01:21+00:00,51.516814,-0.08162,Stolen goods,1
363,Person and Vehicle search,2020-01-06T03:22:13+00:00,51.514858,0.004717,Controlled drugs,1
365,Person search,2020-01-06T05:29:36+00:00,51.513454,-0.09172,Stolen goods,1
367,Person search,2020-01-06T06:59:58+00:00,51.513721,-0.102647,Evidence of offences under the Act,1
369,Person search,2020-01-06T09:13:01+00:00,51.518433,-0.078856,Article for use in theft,1
373,Person search,2020-01-06T12:31:44+00:00,51.520846,-0.100593,Article for use in theft,1
379,Person search,2020-01-07T04:16:57+00:00,51.517184,-0.076747,Controlled drugs,1
384,Person search,2020-01-07T09:22:17+00:00,51.517231,-0.079613,Stolen goods,1
407,Person search,2020-01-09T06:44:58+00:00,51.51768,-0.078484,Controlled drugs,1
408,Person search,2020-01-09T10:44:20+00:00,51.512147,-0.092077,Article for use in theft,1
421,Person search,2020-01-11T05:58:57+00:00,51.516351,-0.082965,Controlled drugs,1
422,Person search,2020-01-11T07:32:57+00:00,51.516351,-0.082965,Controlled drugs,1
429,Person search,2020-01-11T11:09:39+00:00,51.516351,-0.082965,Controlled drugs,1
430,Person and Vehicle search,2020-01-11T12:07:55+00:00,51.514461,-0.092268,Controlled drugs,1
442,Person search,2020-01-12T08:56:11+00:00,51.520846,-0.100593,Evidence of offences under the Act,1
446,Person search,2020-01-12T10:35:05+00:00,51.509848,-0.104494,Controlled drugs,1
450,Person search,2020-01-13T02:13:49+00:00,51.513377,-0.096363,Controlled drugs,1
452,Person search,2020-01-13T03:47:58+00:00,51.513377,-0.096363,Offensive weapons,1
462,Person search,2020-01-14T01:40:39+00:00,51.515739,-0.100632,Controlled drugs,1
464,Person search,2020-01-14T02:28:53+00:00,51.515739,-0.100632,Offensive weapons,1
468,Person search,2020-01-14T06:53:01+00:00,51.516814,-0.08162,Controlled drugs,1
483,Person and Vehicle search,2020-01-15T07:31:08+00:00,51.514151,-0.074958,Controlled drugs,1
488,Person search,2020-01-16T05:56:30+00:00,51.517058,-0.083296,Controlled drugs,1
